VM2 Rank=1      G=-1033.157         E=-822.282          -TS=-210.875            
VM2 Rank=2      G=-1032.942         E=-822.098          -TS=-210.844            
VM2 Rank=3      G=-1032.898         E=-821.969          -TS=-210.929            
VM2 Rank=4      G=-1032.203         E=-821.138          -TS=-211.065            
VM2 Rank=5      G=-1032.169         E=-819.873          -TS=-212.296            
VM2 Rank=6      G=-1031.960         E=-819.198          -TS=-212.762            
VM2 Rank=7      G=-1031.884         E=-820.383          -TS=-211.501            
VM2 Rank=8      G=-1030.211         E=-819.761          -TS=-210.450            
VM2 Rank=9      G=-1029.876         E=-819.187          -TS=-210.689            
VM2 Rank=10     G=-1029.558         E=-818.613          -TS=-210.945            
VM2 Rank=11     G=-1029.305         E=-819.212          -TS=-210.092            
VM2 Rank=12     G=-1029.286         E=-818.912          -TS=-210.374            
VM2 Rank=13     G=-1029.201         E=-818.175          -TS=-211.026            
VM2 Rank=14     G=-1028.265         E=-816.166          -TS=-212.099            
VM2 Rank=15     G=-1027.857         E=-816.375          -TS=-211.482            
VM2 Rank=16     G=-1027.583         E=-816.122          -TS=-211.461            
VM2 Rank=17     G=-1027.464         E=-816.976          -TS=-210.489            
VM2 Rank=18     G=-1026.715         E=-815.155          -TS=-211.560            
VM2 Rank=19     G=-1026.632         E=-815.808          -TS=-210.823            
VM2 Rank=20     G=-1026.494         E=-816.439          -TS=-210.055            
VM2 Rank=21     G=-1026.075         E=-815.961          -TS=-210.114            
VM2 Rank=22     G=-1026.070         E=-815.228          -TS=-210.843            
VM2 Rank=23     G=-1025.965         E=-814.213          -TS=-211.752            
VM2 Rank=24     G=-1025.823         E=-813.379          -TS=-212.445            
VM2 Rank=25     G=-1025.742         E=-814.771          -TS=-210.971            
VM2 Rank=26     G=-1025.553         E=-814.953          -TS=-210.600            
VM2 Rank=27     G=-1025.220         E=-815.349          -TS=-209.871            
VM2 Rank=28     G=-1024.582         E=-813.728          -TS=-210.853            
VM2 Rank=29     G=-1024.319         E=-814.152          -TS=-210.168            
VM2 Rank=30     G=-1024.065         E=-813.269          -TS=-210.796            
