VM2 Rank=1      G=-998.639          E=-794.483          -TS=-204.157            
VM2 Rank=2      G=-998.443          E=-793.654          -TS=-204.789            
VM2 Rank=3      G=-998.187          E=-793.782          -TS=-204.405            
VM2 Rank=4      G=-998.044          E=-793.099          -TS=-204.945            
VM2 Rank=5      G=-997.509          E=-793.849          -TS=-203.659            
VM2 Rank=6      G=-997.463          E=-793.301          -TS=-204.162            
VM2 Rank=7      G=-995.652          E=-791.705          -TS=-203.947            
VM2 Rank=8      G=-995.455          E=-791.871          -TS=-203.583            
VM2 Rank=9      G=-994.945          E=-791.212          -TS=-203.733            
VM2 Rank=10     G=-994.747          E=-790.603          -TS=-204.144            
VM2 Rank=11     G=-994.219          E=-791.209          -TS=-203.010            
VM2 Rank=12     G=-993.845          E=-790.814          -TS=-203.030            
VM2 Rank=13     G=-993.771          E=-790.130          -TS=-203.641            
VM2 Rank=14     G=-993.328          E=-789.643          -TS=-203.684            
VM2 Rank=15     G=-992.958          E=-789.091          -TS=-203.867            
VM2 Rank=16     G=-992.726          E=-789.715          -TS=-203.011            
VM2 Rank=17     G=-992.707          E=-789.778          -TS=-202.929            
VM2 Rank=18     G=-992.634          E=-788.958          -TS=-203.676            
VM2 Rank=19     G=-992.315          E=-788.634          -TS=-203.681            
VM2 Rank=20     G=-992.228          E=-788.944          -TS=-203.284            
VM2 Rank=21     G=-992.072          E=-788.230          -TS=-203.842            
VM2 Rank=22     G=-991.808          E=-787.945          -TS=-203.863            
VM2 Rank=23     G=-991.733          E=-788.786          -TS=-202.946            
VM2 Rank=24     G=-991.687          E=-787.442          -TS=-204.245            
VM2 Rank=25     G=-991.504          E=-788.230          -TS=-203.274            
VM2 Rank=26     G=-991.456          E=-788.712          -TS=-202.744            
VM2 Rank=27     G=-991.340          E=-787.973          -TS=-203.367            
VM2 Rank=28     G=-991.200          E=-787.352          -TS=-203.848            
VM2 Rank=29     G=-991.173          E=-787.414          -TS=-203.758            
VM2 Rank=30     G=-990.918          E=-786.839          -TS=-204.079            
