VM2 Rank=1      G=-1005.167         E=-788.868          -TS=-216.300            
VM2 Rank=2      G=-1003.846         E=-786.702          -TS=-217.144            
VM2 Rank=3      G=-1002.999         E=-787.721          -TS=-215.278            
VM2 Rank=4      G=-1002.988         E=-787.248          -TS=-215.740            
VM2 Rank=5      G=-1001.691         E=-785.045          -TS=-216.646            
VM2 Rank=6      G=-1001.566         E=-784.721          -TS=-216.846            
VM2 Rank=7      G=-1001.559         E=-787.040          -TS=-214.518            
VM2 Rank=8      G=-1001.243         E=-784.311          -TS=-216.932            
VM2 Rank=9      G=-1001.119         E=-783.624          -TS=-217.495            
VM2 Rank=10     G=-1001.117         E=-785.062          -TS=-216.055            
VM2 Rank=11     G=-1000.951         E=-787.954          -TS=-212.998            
VM2 Rank=12     G=-1000.861         E=-784.700          -TS=-216.160            
VM2 Rank=13     G=-1000.771         E=-786.129          -TS=-214.642            
VM2 Rank=14     G=-999.941          E=-784.398          -TS=-215.543            
VM2 Rank=15     G=-999.905          E=-783.739          -TS=-216.166            
VM2 Rank=16     G=-999.837          E=-784.564          -TS=-215.273            
VM2 Rank=17     G=-999.450          E=-783.834          -TS=-215.616            
VM2 Rank=18     G=-999.128          E=-783.305          -TS=-215.823            
VM2 Rank=19     G=-999.057          E=-782.156          -TS=-216.901            
VM2 Rank=20     G=-998.747          E=-785.108          -TS=-213.639            
VM2 Rank=21     G=-998.713          E=-783.721          -TS=-214.992            
VM2 Rank=22     G=-998.660          E=-783.506          -TS=-215.154            
VM2 Rank=23     G=-998.635          E=-783.301          -TS=-215.334            
VM2 Rank=24     G=-998.482          E=-783.082          -TS=-215.400            
VM2 Rank=25     G=-998.461          E=-782.984          -TS=-215.478            
VM2 Rank=26     G=-998.451          E=-781.162          -TS=-217.289            
VM2 Rank=27     G=-998.272          E=-782.042          -TS=-216.229            
VM2 Rank=28     G=-998.221          E=-781.248          -TS=-216.973            
VM2 Rank=29     G=-998.165          E=-785.661          -TS=-212.505            
VM2 Rank=30     G=-997.975          E=-783.853          -TS=-214.122            
