VM2 Rank=1      G=-1029.215         E=-813.350          -TS=-215.865            
VM2 Rank=2      G=-1028.513         E=-812.110          -TS=-216.403            
VM2 Rank=3      G=-1027.033         E=-810.366          -TS=-216.667            
VM2 Rank=4      G=-1026.811         E=-810.430          -TS=-216.381            
VM2 Rank=5      G=-1026.764         E=-809.316          -TS=-217.448            
VM2 Rank=6      G=-1026.111         E=-809.994          -TS=-216.117            
VM2 Rank=7      G=-1025.685         E=-811.735          -TS=-213.950            
VM2 Rank=8      G=-1025.583         E=-809.681          -TS=-215.902            
VM2 Rank=9      G=-1025.550         E=-809.073          -TS=-216.477            
VM2 Rank=10     G=-1025.526         E=-808.882          -TS=-216.644            
VM2 Rank=11     G=-1025.304         E=-807.872          -TS=-217.432            
VM2 Rank=12     G=-1025.051         E=-808.988          -TS=-216.063            
VM2 Rank=13     G=-1024.879         E=-809.815          -TS=-215.064            
VM2 Rank=14     G=-1024.617         E=-810.139          -TS=-214.478            
VM2 Rank=15     G=-1024.257         E=-808.920          -TS=-215.337            
VM2 Rank=16     G=-1023.908         E=-805.707          -TS=-218.202            
VM2 Rank=17     G=-1023.747         E=-806.572          -TS=-217.176            
VM2 Rank=18     G=-1023.640         E=-808.875          -TS=-214.765            
VM2 Rank=19     G=-1023.447         E=-805.443          -TS=-218.003            
VM2 Rank=20     G=-1023.435         E=-807.650          -TS=-215.785            
VM2 Rank=21     G=-1023.091         E=-806.562          -TS=-216.529            
VM2 Rank=22     G=-1022.927         E=-806.594          -TS=-216.333            
VM2 Rank=23     G=-1022.868         E=-805.395          -TS=-217.473            
VM2 Rank=24     G=-1022.831         E=-807.969          -TS=-214.862            
VM2 Rank=25     G=-1022.699         E=-805.932          -TS=-216.767            
VM2 Rank=26     G=-1022.524         E=-806.593          -TS=-215.931            
VM2 Rank=27     G=-1022.483         E=-807.669          -TS=-214.814            
VM2 Rank=28     G=-1022.423         E=-805.053          -TS=-217.370            
VM2 Rank=29     G=-1022.303         E=-805.608          -TS=-216.695            
VM2 Rank=30     G=-1022.040         E=-806.479          -TS=-215.560            
