VM2 Rank=1      G=220.152           E=124.029           -TS=96.123              
VM2 Rank=2      G=220.189           E=124.063           -TS=96.126              
VM2 Rank=3      G=220.190           E=124.068           -TS=96.122              
VM2 Rank=4      G=220.209           E=124.089           -TS=96.120              
VM2 Rank=5      G=220.235           E=123.473           -TS=96.762              
VM2 Rank=6      G=220.243           E=123.839           -TS=96.405              
VM2 Rank=7      G=220.246           E=123.854           -TS=96.393              
VM2 Rank=8      G=220.251           E=123.846           -TS=96.405              
VM2 Rank=9      G=220.254           E=123.487           -TS=96.767              
VM2 Rank=10     G=220.256           E=123.505           -TS=96.751              
VM2 Rank=11     G=220.271           E=124.037           -TS=96.234              
VM2 Rank=12     G=220.280           E=123.522           -TS=96.758              
VM2 Rank=13     G=220.305           E=124.050           -TS=96.255              
VM2 Rank=14     G=220.320           E=124.078           -TS=96.242              
VM2 Rank=15     G=220.325           E=123.933           -TS=96.391              
VM2 Rank=16     G=220.354           E=124.621           -TS=95.733              
VM2 Rank=17     G=220.369           E=124.627           -TS=95.742              
VM2 Rank=18     G=220.372           E=124.122           -TS=96.250              
VM2 Rank=19     G=220.383           E=124.641           -TS=95.741              
VM2 Rank=20     G=220.431           E=124.692           -TS=95.739              
VM2 Rank=21     G=220.467           E=123.623           -TS=96.845              
VM2 Rank=22     G=220.483           E=123.630           -TS=96.853              
VM2 Rank=23     G=220.493           E=123.614           -TS=96.878              
VM2 Rank=24     G=220.500           E=123.633           -TS=96.867              
VM2 Rank=25     G=220.502           E=124.607           -TS=95.895              
VM2 Rank=26     G=220.512           E=124.631           -TS=95.881              
VM2 Rank=27     G=220.533           E=124.640           -TS=95.893              
VM2 Rank=28     G=220.542           E=124.930           -TS=95.613              
VM2 Rank=29     G=220.567           E=124.472           -TS=96.096              
VM2 Rank=30     G=220.569           E=121.362           -TS=99.207              
