VM2 Rank=1      G=195.681           E=99.162            -TS=96.519              
VM2 Rank=2      G=195.742           E=99.131            -TS=96.611              
VM2 Rank=3      G=195.873           E=98.768            -TS=97.105              
VM2 Rank=4      G=195.949           E=98.914            -TS=97.035              
VM2 Rank=5      G=195.974           E=99.580            -TS=96.394              
VM2 Rank=6      G=195.994           E=99.062            -TS=96.932              
VM2 Rank=7      G=196.003           E=99.547            -TS=96.456              
VM2 Rank=8      G=196.025           E=99.330            -TS=96.696              
VM2 Rank=9      G=196.026           E=99.306            -TS=96.720              
VM2 Rank=10     G=196.057           E=98.903            -TS=97.153              
VM2 Rank=11     G=196.069           E=99.510            -TS=96.559              
VM2 Rank=12     G=196.095           E=99.336            -TS=96.759              
VM2 Rank=13     G=196.100           E=99.755            -TS=96.345              
VM2 Rank=14     G=196.114           E=99.072            -TS=97.042              
VM2 Rank=15     G=196.137           E=99.149            -TS=96.989              
VM2 Rank=16     G=196.141           E=99.556            -TS=96.586              
VM2 Rank=17     G=196.159           E=99.066            -TS=97.093              
VM2 Rank=18     G=196.179           E=99.788            -TS=96.391              
VM2 Rank=19     G=196.201           E=98.723            -TS=97.479              
VM2 Rank=20     G=196.215           E=99.710            -TS=96.506              
VM2 Rank=21     G=196.232           E=99.577            -TS=96.655              
VM2 Rank=22     G=196.240           E=100.371           -TS=95.868              
VM2 Rank=23     G=196.249           E=99.193            -TS=97.056              
VM2 Rank=24     G=196.256           E=99.076            -TS=97.180              
VM2 Rank=25     G=196.270           E=98.672            -TS=97.598              
VM2 Rank=26     G=196.303           E=99.989            -TS=96.314              
VM2 Rank=27     G=196.333           E=99.088            -TS=97.245              
VM2 Rank=28     G=196.334           E=99.725            -TS=96.608              
VM2 Rank=29     G=196.386           E=100.327           -TS=96.058              
VM2 Rank=30     G=196.436           E=99.483            -TS=96.953              
