VM2 Rank=1      G=164.540           E=85.759            -TS=78.782              
VM2 Rank=2      G=164.609           E=85.834            -TS=78.775              
VM2 Rank=3      G=164.708           E=86.869            -TS=77.838              
VM2 Rank=4      G=164.741           E=86.299            -TS=78.442              
VM2 Rank=5      G=164.744           E=86.305            -TS=78.439              
VM2 Rank=6      G=164.788           E=87.116            -TS=77.672              
VM2 Rank=7      G=164.800           E=86.958            -TS=77.842              
VM2 Rank=8      G=164.833           E=86.443            -TS=78.391              
VM2 Rank=9      G=164.842           E=86.479            -TS=78.363              
VM2 Rank=10     G=164.851           E=86.797            -TS=78.054              
VM2 Rank=11     G=164.852           E=86.805            -TS=78.047              
VM2 Rank=12     G=164.877           E=85.660            -TS=79.217              
VM2 Rank=13     G=164.887           E=86.458            -TS=78.430              
VM2 Rank=14     G=164.893           E=87.229            -TS=77.664              
VM2 Rank=15     G=164.898           E=87.477            -TS=77.421              
VM2 Rank=16     G=164.922           E=86.171            -TS=78.751              
VM2 Rank=17     G=164.926           E=86.540            -TS=78.386              
VM2 Rank=18     G=164.949           E=87.502            -TS=77.447              
VM2 Rank=19     G=164.959           E=85.742            -TS=79.217              
VM2 Rank=20     G=164.970           E=86.205            -TS=78.765              
VM2 Rank=21     G=165.003           E=87.227            -TS=77.776              
VM2 Rank=22     G=165.033           E=86.687            -TS=78.347              
VM2 Rank=23     G=165.041           E=86.407            -TS=78.634              
VM2 Rank=24     G=165.053           E=87.284            -TS=77.769              
VM2 Rank=25     G=165.093           E=87.648            -TS=77.445              
VM2 Rank=26     G=165.097           E=86.762            -TS=78.335              
VM2 Rank=27     G=165.098           E=86.460            -TS=78.638              
VM2 Rank=28     G=165.099           E=87.659            -TS=77.440              
VM2 Rank=29     G=165.134           E=86.440            -TS=78.693              
VM2 Rank=30     G=165.141           E=87.417            -TS=77.724              
