VM2 Rank=1      G=211.625           E=122.918           -TS=88.708              
VM2 Rank=2      G=211.697           E=122.987           -TS=88.710              
VM2 Rank=3      G=211.713           E=123.868           -TS=87.845              
VM2 Rank=4      G=211.777           E=122.951           -TS=88.825              
VM2 Rank=5      G=211.780           E=123.036           -TS=88.745              
VM2 Rank=6      G=211.803           E=123.862           -TS=87.941              
VM2 Rank=7      G=211.806           E=123.028           -TS=88.779              
VM2 Rank=8      G=211.837           E=123.900           -TS=87.938              
VM2 Rank=9      G=211.849           E=122.291           -TS=89.558              
VM2 Rank=10     G=211.859           E=122.300           -TS=89.559              
VM2 Rank=11     G=211.873           E=123.093           -TS=88.780              
VM2 Rank=12     G=211.876           E=123.966           -TS=87.909              
VM2 Rank=13     G=211.882           E=122.345           -TS=89.537              
VM2 Rank=14     G=211.894           E=123.092           -TS=88.801              
VM2 Rank=15     G=211.914           E=124.003           -TS=87.911              
VM2 Rank=16     G=211.929           E=123.205           -TS=88.724              
VM2 Rank=17     G=211.968           E=123.627           -TS=88.342              
VM2 Rank=18     G=211.985           E=124.060           -TS=87.925              
VM2 Rank=19     G=212.005           E=123.662           -TS=88.343              
VM2 Rank=20     G=212.038           E=123.727           -TS=88.311              
VM2 Rank=21     G=212.038           E=122.497           -TS=89.541              
VM2 Rank=22     G=212.047           E=123.784           -TS=88.263              
VM2 Rank=23     G=212.058           E=122.730           -TS=89.327              
VM2 Rank=24     G=212.064           E=123.751           -TS=88.313              
VM2 Rank=25     G=212.081           E=123.760           -TS=88.320              
VM2 Rank=26     G=212.095           E=124.292           -TS=87.804              
VM2 Rank=27     G=212.100           E=123.970           -TS=88.130              
VM2 Rank=28     G=212.112           E=124.302           -TS=87.810              
VM2 Rank=29     G=212.127           E=123.867           -TS=88.261              
VM2 Rank=30     G=212.136           E=123.746           -TS=88.390              
