VM2 Rank=1      G=205.518           E=113.654           -TS=91.864              
VM2 Rank=2      G=205.529           E=113.653           -TS=91.876              
VM2 Rank=3      G=205.556           E=113.498           -TS=92.058              
VM2 Rank=4      G=205.597           E=113.527           -TS=92.070              
VM2 Rank=5      G=205.678           E=113.786           -TS=91.892              
VM2 Rank=6      G=205.691           E=113.198           -TS=92.493              
VM2 Rank=7      G=205.700           E=113.753           -TS=91.947              
VM2 Rank=8      G=205.701           E=114.302           -TS=91.399              
VM2 Rank=9      G=205.708           E=113.558           -TS=92.150              
VM2 Rank=10     G=205.710           E=114.312           -TS=91.398              
VM2 Rank=11     G=205.717           E=113.221           -TS=92.497              
VM2 Rank=12     G=205.728           E=113.766           -TS=91.963              
VM2 Rank=13     G=205.739           E=113.835           -TS=91.904              
VM2 Rank=14     G=205.747           E=113.219           -TS=92.527              
VM2 Rank=15     G=205.766           E=113.603           -TS=92.163              
VM2 Rank=16     G=205.783           E=113.246           -TS=92.537              
VM2 Rank=17     G=205.836           E=113.306           -TS=92.530              
VM2 Rank=18     G=205.868           E=113.846           -TS=92.021              
VM2 Rank=19     G=205.869           E=113.327           -TS=92.542              
VM2 Rank=20     G=205.884           E=113.848           -TS=92.036              
VM2 Rank=21     G=205.923           E=114.430           -TS=91.493              
VM2 Rank=22     G=205.929           E=113.300           -TS=92.629              
VM2 Rank=23     G=205.936           E=111.227           -TS=94.709              
VM2 Rank=24     G=205.965           E=114.490           -TS=91.475              
VM2 Rank=25     G=205.970           E=114.528           -TS=91.442              
VM2 Rank=26     G=205.984           E=114.561           -TS=91.423              
VM2 Rank=27     G=206.006           E=114.172           -TS=91.833              
VM2 Rank=28     G=206.017           E=113.401           -TS=92.615              
VM2 Rank=29     G=206.019           E=114.686           -TS=91.333              
VM2 Rank=30     G=206.025           E=114.684           -TS=91.341              
