lig,exp, qmvm2_feprocess, qmvm2_vm2
ac_67,-12.7,-43.3,-41.1
ad_12,-9.4,-39.2,-36.7
ad_17,-14.2,-47.5,-44.6
ad_23,-11.6,-43.1,-41.1
ad_24,-10.1,-40.2,-37.5
ad_32,-10.3,-40.9,-38.6
ad_33,-12.5,-43.4,-40.7
ad_63,-13.9,-44.8,-42.1
ad_67,-13.9,-43.3,-41.4
ad_70,-14,-45.9,-43.3
ad_71,-13,-44.5,-42.2
ad_73,-13.4,-46.6,-44.0
ad_74,-13.2,-44.5,-42.7
ad_76,-13.5,-44.4,-42.2
ad_78,-15.4,-45.3,-43.2
ad_80,-14.2,-45.6,-43.1
ad_81,-16.6,-48.3,-45.2
ad_83,-14.4,-49.3,-47.1
kb_01,-9.3,-37.8,-36.5
kb_02,-13.7,-44.1,-41.5
kb_03,-9.1,-39.8,-38.5
kb_04,-9.3,-39.1,-37.1
kb_18,-9.3,-41.1,-37.4
kb_19,-15.6,-46.3,-43.6
kb_53,-12.5,-42.0,-40.7
kb_54,-14.8,-45.7,-44.0
kb_55,-13.8,-44.2,-41.9
kb_56,-12.7,-41.7,-40.2
kb_57,-13.7,-44.9,-42.2
kb_58,-13.2,-42.1,-40.6
kb_59,-13.9,-43.3,-41.3
kb_60,-14.8,-45.1,-40.9
kb_61,-13.6,-46.3,-44.5
kb_62,-15.4,-46.9,-44.0
kb_67,-12.7,-41.2,-39.0
kb_69,-11.9,-43.4,-41.5
kk_98,-9.2,-41.1,-38.7
kk_99,-13.8,-45.6,-43.3
