VM2 Rank=1      G=-1024.891         E=-816.005          -TS=-208.886            
VM2 Rank=2      G=-1024.648         E=-815.399          -TS=-209.249            
VM2 Rank=3      G=-1024.274         E=-815.678          -TS=-208.596            
VM2 Rank=4      G=-1022.039         E=-813.128          -TS=-208.911            
VM2 Rank=5      G=-1021.176         E=-812.490          -TS=-208.686            
VM2 Rank=6      G=-1020.014         E=-810.641          -TS=-209.373            
VM2 Rank=7      G=-1019.504         E=-811.013          -TS=-208.491            
VM2 Rank=8      G=-1018.930         E=-810.817          -TS=-208.113            
VM2 Rank=9      G=-1018.858         E=-810.255          -TS=-208.603            
VM2 Rank=10     G=-1018.809         E=-810.564          -TS=-208.245            
VM2 Rank=11     G=-1018.526         E=-810.543          -TS=-207.984            
VM2 Rank=12     G=-1017.935         E=-809.387          -TS=-208.548            
VM2 Rank=13     G=-1017.621         E=-809.100          -TS=-208.521            
VM2 Rank=14     G=-1017.281         E=-808.989          -TS=-208.293            
VM2 Rank=15     G=-1015.991         E=-807.445          -TS=-208.546            
VM2 Rank=16     G=-1015.976         E=-808.860          -TS=-207.116            
VM2 Rank=17     G=-1015.328         E=-807.276          -TS=-208.052            
VM2 Rank=18     G=-1015.153         E=-807.013          -TS=-208.140            
VM2 Rank=19     G=-1015.104         E=-807.131          -TS=-207.973            
