VM2 Rank=1      G=-1028.115         E=-814.027          -TS=-214.088            
VM2 Rank=2      G=-1027.516         E=-813.290          -TS=-214.227            
VM2 Rank=3      G=-1027.250         E=-812.529          -TS=-214.721            
VM2 Rank=4      G=-1026.362         E=-812.118          -TS=-214.244            
VM2 Rank=5      G=-1026.050         E=-811.296          -TS=-214.755            
VM2 Rank=6      G=-1025.811         E=-811.756          -TS=-214.056            
VM2 Rank=7      G=-1025.553         E=-812.399          -TS=-213.154            
VM2 Rank=8      G=-1025.206         E=-811.709          -TS=-213.497            
VM2 Rank=9      G=-1024.838         E=-810.676          -TS=-214.162            
VM2 Rank=10     G=-1024.637         E=-811.820          -TS=-212.817            
VM2 Rank=11     G=-1024.119         E=-810.855          -TS=-213.264            
VM2 Rank=12     G=-1023.929         E=-810.756          -TS=-213.173            
VM2 Rank=13     G=-1023.446         E=-810.102          -TS=-213.344            
VM2 Rank=14     G=-1023.312         E=-810.318          -TS=-212.994            
VM2 Rank=15     G=-1023.131         E=-810.333          -TS=-212.799            
VM2 Rank=16     G=-1022.874         E=-809.129          -TS=-213.745            
VM2 Rank=17     G=-1022.566         E=-809.431          -TS=-213.135            
VM2 Rank=18     G=-1022.457         E=-808.286          -TS=-214.171            
VM2 Rank=19     G=-1022.101         E=-808.731          -TS=-213.369            
VM2 Rank=20     G=-1021.692         E=-808.891          -TS=-212.800            
VM2 Rank=21     G=-1021.529         E=-808.060          -TS=-213.470            
VM2 Rank=22     G=-1021.445         E=-808.561          -TS=-212.884            
VM2 Rank=23     G=-1021.421         E=-808.071          -TS=-213.350            
VM2 Rank=24     G=-1021.156         E=-807.154          -TS=-214.001            
VM2 Rank=25     G=-1020.729         E=-806.939          -TS=-213.791            
VM2 Rank=26     G=-1020.668         E=-807.096          -TS=-213.572            
VM2 Rank=27     G=-1020.534         E=-807.602          -TS=-212.932            
VM2 Rank=28     G=-1019.847         E=-807.207          -TS=-212.641            
VM2 Rank=29     G=-1019.606         E=-806.592          -TS=-213.014            
VM2 Rank=30     G=-1019.449         E=-805.939          -TS=-213.510            
