VM2 Rank=1      G=-993.272          E=-782.834          -TS=-210.438            
VM2 Rank=2      G=-991.256          E=-782.338          -TS=-208.918            
VM2 Rank=3      G=-990.448          E=-781.634          -TS=-208.813            
VM2 Rank=4      G=-989.957          E=-781.797          -TS=-208.159            
VM2 Rank=5      G=-989.777          E=-781.145          -TS=-208.631            
VM2 Rank=6      G=-988.668          E=-780.885          -TS=-207.784            
VM2 Rank=7      G=-988.499          E=-778.454          -TS=-210.045            
VM2 Rank=8      G=-987.824          E=-777.967          -TS=-209.857            
VM2 Rank=9      G=-987.797          E=-779.292          -TS=-208.504            
VM2 Rank=10     G=-987.313          E=-780.187          -TS=-207.126            
VM2 Rank=11     G=-987.247          E=-778.136          -TS=-209.111            
VM2 Rank=12     G=-987.172          E=-778.365          -TS=-208.808            
VM2 Rank=13     G=-986.978          E=-778.875          -TS=-208.103            
VM2 Rank=14     G=-986.948          E=-777.768          -TS=-209.180            
VM2 Rank=15     G=-986.641          E=-777.809          -TS=-208.831            
VM2 Rank=16     G=-985.960          E=-773.519          -TS=-212.441            
VM2 Rank=17     G=-985.856          E=-777.312          -TS=-208.544            
VM2 Rank=18     G=-985.006          E=-777.754          -TS=-207.252            
VM2 Rank=19     G=-984.902          E=-777.455          -TS=-207.447            
VM2 Rank=20     G=-984.524          E=-777.697          -TS=-206.828            
VM2 Rank=21     G=-984.398          E=-775.683          -TS=-208.715            
VM2 Rank=22     G=-984.356          E=-776.393          -TS=-207.963            
VM2 Rank=23     G=-984.229          E=-774.885          -TS=-209.344            
VM2 Rank=24     G=-984.200          E=-775.210          -TS=-208.990            
VM2 Rank=25     G=-984.075          E=-775.877          -TS=-208.198            
VM2 Rank=26     G=-984.005          E=-775.481          -TS=-208.523            
VM2 Rank=27     G=-983.972          E=-776.058          -TS=-207.914            
