VM2 Rank=1      G=-1009.811         E=-796.841          -TS=-212.971            
VM2 Rank=2      G=-1009.200         E=-795.724          -TS=-213.476            
VM2 Rank=3      G=-1008.619         E=-795.753          -TS=-212.866            
VM2 Rank=4      G=-1008.590         E=-795.792          -TS=-212.798            
VM2 Rank=5      G=-1007.809         E=-793.089          -TS=-214.720            
VM2 Rank=6      G=-1007.778         E=-795.418          -TS=-212.360            
VM2 Rank=7      G=-1007.693         E=-794.732          -TS=-212.961            
VM2 Rank=8      G=-1007.501         E=-795.249          -TS=-212.253            
VM2 Rank=9      G=-1007.477         E=-794.849          -TS=-212.628            
VM2 Rank=10     G=-1007.277         E=-793.151          -TS=-214.126            
VM2 Rank=11     G=-1007.097         E=-792.787          -TS=-214.310            
VM2 Rank=12     G=-1006.717         E=-794.598          -TS=-212.118            
VM2 Rank=13     G=-1006.581         E=-792.398          -TS=-214.183            
VM2 Rank=14     G=-1006.529         E=-793.493          -TS=-213.037            
VM2 Rank=15     G=-1006.294         E=-793.413          -TS=-212.881            
VM2 Rank=16     G=-1006.208         E=-792.023          -TS=-214.185            
VM2 Rank=17     G=-1006.200         E=-792.352          -TS=-213.848            
VM2 Rank=18     G=-1006.195         E=-792.127          -TS=-214.069            
VM2 Rank=19     G=-1006.111         E=-792.908          -TS=-213.203            
VM2 Rank=20     G=-1005.857         E=-792.385          -TS=-213.471            
VM2 Rank=21     G=-1005.836         E=-793.333          -TS=-212.503            
VM2 Rank=22     G=-1005.756         E=-792.990          -TS=-212.766            
VM2 Rank=23     G=-1005.544         E=-792.569          -TS=-212.975            
VM2 Rank=24     G=-1005.210         E=-792.888          -TS=-212.322            
VM2 Rank=25     G=-1005.120         E=-792.402          -TS=-212.719            
VM2 Rank=26     G=-1005.049         E=-792.756          -TS=-212.293            
VM2 Rank=27     G=-1004.776         E=-792.028          -TS=-212.749            
VM2 Rank=28     G=-1004.508         E=-789.822          -TS=-214.686            
VM2 Rank=29     G=-1004.485         E=-792.500          -TS=-211.985            
VM2 Rank=30     G=-1004.472         E=-792.000          -TS=-212.472            
