VM2 Rank=1      G=-982.776          E=-769.277          -TS=-213.499            
VM2 Rank=2      G=-981.863          E=-769.135          -TS=-212.728            
VM2 Rank=3      G=-980.941          E=-768.450          -TS=-212.491            
VM2 Rank=4      G=-980.381          E=-768.085          -TS=-212.296            
VM2 Rank=5      G=-979.884          E=-768.244          -TS=-211.640            
VM2 Rank=6      G=-978.260          E=-765.512          -TS=-212.748            
VM2 Rank=7      G=-978.024          E=-766.048          -TS=-211.976            
VM2 Rank=8      G=-978.008          E=-767.800          -TS=-210.208            
VM2 Rank=9      G=-977.692          E=-765.197          -TS=-212.495            
VM2 Rank=10     G=-977.287          E=-765.326          -TS=-211.961            
VM2 Rank=11     G=-977.055          E=-764.766          -TS=-212.289            
VM2 Rank=12     G=-976.995          E=-765.907          -TS=-211.088            
VM2 Rank=13     G=-976.810          E=-763.678          -TS=-213.132            
VM2 Rank=14     G=-976.797          E=-765.450          -TS=-211.347            
VM2 Rank=15     G=-976.547          E=-765.792          -TS=-210.755            
VM2 Rank=16     G=-976.542          E=-765.093          -TS=-211.449            
VM2 Rank=17     G=-976.539          E=-765.991          -TS=-210.548            
VM2 Rank=18     G=-976.445          E=-764.248          -TS=-212.197            
VM2 Rank=19     G=-976.081          E=-764.600          -TS=-211.481            
VM2 Rank=20     G=-976.063          E=-764.386          -TS=-211.678            
VM2 Rank=21     G=-976.010          E=-764.894          -TS=-211.117            
VM2 Rank=22     G=-975.977          E=-763.634          -TS=-212.343            
VM2 Rank=23     G=-975.921          E=-764.058          -TS=-211.863            
VM2 Rank=24     G=-975.851          E=-763.608          -TS=-212.243            
VM2 Rank=25     G=-975.681          E=-763.400          -TS=-212.281            
VM2 Rank=26     G=-975.431          E=-762.336          -TS=-213.095            
VM2 Rank=27     G=-975.392          E=-763.282          -TS=-212.110            
VM2 Rank=28     G=-974.958          E=-764.159          -TS=-210.800            
VM2 Rank=29     G=-974.950          E=-762.549          -TS=-212.401            
VM2 Rank=30     G=-974.854          E=-763.734          -TS=-211.120            
