VM2 Rank=1      G=-1018.048         E=-807.558          -TS=-210.490            
VM2 Rank=2      G=-1017.736         E=-807.140          -TS=-210.596            
VM2 Rank=3      G=-1016.405         E=-807.506          -TS=-208.899            
VM2 Rank=4      G=-1016.222         E=-806.737          -TS=-209.485            
VM2 Rank=5      G=-1015.786         E=-807.132          -TS=-208.654            
VM2 Rank=6      G=-1015.501         E=-804.927          -TS=-210.574            
VM2 Rank=7      G=-1015.132         E=-804.416          -TS=-210.716            
VM2 Rank=8      G=-1015.021         E=-805.511          -TS=-209.510            
VM2 Rank=9      G=-1014.449         E=-806.447          -TS=-208.002            
VM2 Rank=10     G=-1014.429         E=-804.797          -TS=-209.632            
VM2 Rank=11     G=-1014.336         E=-805.000          -TS=-209.336            
VM2 Rank=12     G=-1013.872         E=-804.301          -TS=-209.571            
VM2 Rank=13     G=-1013.460         E=-803.864          -TS=-209.595            
VM2 Rank=14     G=-1012.382         E=-803.858          -TS=-208.524            
VM2 Rank=15     G=-1012.343         E=-802.670          -TS=-209.672            
VM2 Rank=16     G=-1012.100         E=-801.616          -TS=-210.484            
VM2 Rank=17     G=-1011.568         E=-802.171          -TS=-209.398            
VM2 Rank=18     G=-1011.181         E=-800.572          -TS=-210.608            
VM2 Rank=19     G=-1011.117         E=-800.395          -TS=-210.722            
VM2 Rank=20     G=-1011.021         E=-803.392          -TS=-207.629            
VM2 Rank=21     G=-1010.693         E=-801.309          -TS=-209.384            
VM2 Rank=22     G=-1010.452         E=-802.523          -TS=-207.929            
VM2 Rank=23     G=-1010.226         E=-801.088          -TS=-209.138            
VM2 Rank=24     G=-1010.210         E=-800.296          -TS=-209.914            
VM2 Rank=25     G=-1009.678         E=-799.026          -TS=-210.652            
VM2 Rank=26     G=-1009.588         E=-800.452          -TS=-209.136            
VM2 Rank=27     G=-1009.528         E=-799.303          -TS=-210.225            
VM2 Rank=28     G=-1009.447         E=-801.174          -TS=-208.273            
VM2 Rank=29     G=-1009.360         E=-802.360          -TS=-207.000            
VM2 Rank=30     G=-1009.220         E=-800.564          -TS=-208.656            
