VM2 Rank=1      G=194.386           E=102.709           -TS=91.677              
VM2 Rank=2      G=194.453           E=102.495           -TS=91.959              
VM2 Rank=3      G=194.616           E=102.293           -TS=92.324              
VM2 Rank=4      G=194.627           E=103.357           -TS=91.270              
VM2 Rank=5      G=194.668           E=102.813           -TS=91.854              
VM2 Rank=6      G=194.757           E=102.311           -TS=92.447              
VM2 Rank=7      G=194.774           E=103.518           -TS=91.255              
VM2 Rank=8      G=194.816           E=103.597           -TS=91.219              
VM2 Rank=9      G=194.899           E=103.379           -TS=91.520              
VM2 Rank=10     G=194.931           E=103.772           -TS=91.159              
VM2 Rank=11     G=194.938           E=103.967           -TS=90.971              
VM2 Rank=12     G=194.952           E=103.965           -TS=90.987              
VM2 Rank=13     G=194.965           E=103.270           -TS=91.695              
VM2 Rank=14     G=194.998           E=103.033           -TS=91.964              
VM2 Rank=15     G=195.070           E=104.549           -TS=90.522              
VM2 Rank=16     G=195.104           E=104.032           -TS=91.071              
VM2 Rank=17     G=195.150           E=103.673           -TS=91.477              
VM2 Rank=18     G=195.163           E=102.777           -TS=92.386              
VM2 Rank=19     G=195.166           E=106.724           -TS=88.442              
VM2 Rank=20     G=195.241           E=102.919           -TS=92.322              
VM2 Rank=21     G=195.241           E=105.261           -TS=89.980              
VM2 Rank=22     G=195.265           E=102.587           -TS=92.678              
VM2 Rank=23     G=195.294           E=103.183           -TS=92.110              
VM2 Rank=24     G=195.302           E=101.253           -TS=94.049              
VM2 Rank=25     G=195.326           E=104.462           -TS=90.864              
VM2 Rank=26     G=195.364           E=103.374           -TS=91.990              
VM2 Rank=27     G=195.396           E=103.595           -TS=91.801              
VM2 Rank=28     G=195.406           E=102.797           -TS=92.608              
VM2 Rank=29     G=195.436           E=101.952           -TS=93.484              
VM2 Rank=30     G=195.454           E=103.739           -TS=91.715              
