VM2 Rank=1      G=215.462           E=117.178           -TS=98.284              
VM2 Rank=2      G=215.512           E=117.220           -TS=98.292              
VM2 Rank=3      G=215.513           E=117.313           -TS=98.200              
VM2 Rank=4      G=215.554           E=116.690           -TS=98.863              
VM2 Rank=5      G=215.577           E=117.365           -TS=98.212              
VM2 Rank=6      G=215.593           E=117.944           -TS=97.649              
VM2 Rank=7      G=215.596           E=117.390           -TS=98.206              
VM2 Rank=8      G=215.615           E=116.746           -TS=98.869              
VM2 Rank=9      G=215.635           E=117.414           -TS=98.221              
VM2 Rank=10     G=215.640           E=116.850           -TS=98.790              
VM2 Rank=11     G=215.647           E=116.895           -TS=98.752              
VM2 Rank=12     G=215.649           E=117.439           -TS=98.210              
VM2 Rank=13     G=215.650           E=117.444           -TS=98.206              
VM2 Rank=14     G=215.652           E=117.990           -TS=97.662              
VM2 Rank=15     G=215.669           E=117.430           -TS=98.239              
VM2 Rank=16     G=215.687           E=116.921           -TS=98.766              
VM2 Rank=17     G=215.690           E=117.472           -TS=98.219              
VM2 Rank=18     G=215.700           E=116.414           -TS=99.286              
VM2 Rank=19     G=215.701           E=116.947           -TS=98.754              
VM2 Rank=20     G=215.712           E=116.906           -TS=98.806              
VM2 Rank=21     G=215.720           E=116.950           -TS=98.770              
VM2 Rank=22     G=215.741           E=117.227           -TS=98.514              
VM2 Rank=23     G=215.753           E=117.976           -TS=97.777              
VM2 Rank=24     G=215.753           E=116.890           -TS=98.864              
VM2 Rank=25     G=215.775           E=116.480           -TS=99.295              
VM2 Rank=26     G=215.784           E=117.261           -TS=98.524              
VM2 Rank=27     G=215.794           E=116.972           -TS=98.821              
VM2 Rank=28     G=215.800           E=117.029           -TS=98.771              
VM2 Rank=29     G=215.803           E=117.327           -TS=98.475              
VM2 Rank=30     G=215.826           E=116.954           -TS=98.872              
