VM2 Rank=1      G=162.544           E=87.509            -TS=75.035              
VM2 Rank=2      G=162.594           E=86.903            -TS=75.690              
VM2 Rank=3      G=162.654           E=87.682            -TS=74.972              
VM2 Rank=4      G=162.667           E=88.063            -TS=74.604              
VM2 Rank=5      G=162.705           E=88.074            -TS=74.630              
VM2 Rank=6      G=162.754           E=88.216            -TS=74.538              
VM2 Rank=7      G=162.844           E=88.800            -TS=74.044              
VM2 Rank=8      G=162.917           E=87.442            -TS=75.475              
VM2 Rank=9      G=162.939           E=90.068            -TS=72.870              
VM2 Rank=10     G=163.047           E=87.640            -TS=75.407              
VM2 Rank=11     G=163.061           E=90.020            -TS=73.041              
VM2 Rank=12     G=163.068           E=88.946            -TS=74.122              
VM2 Rank=13     G=163.086           E=89.269            -TS=73.817              
VM2 Rank=14     G=163.101           E=88.311            -TS=74.790              
VM2 Rank=15     G=163.155           E=88.181            -TS=74.974              
VM2 Rank=16     G=163.158           E=87.816            -TS=75.342              
VM2 Rank=17     G=163.181           E=88.652            -TS=74.529              
VM2 Rank=18     G=163.196           E=90.009            -TS=73.187              
VM2 Rank=19     G=163.197           E=88.346            -TS=74.851              
VM2 Rank=20     G=163.198           E=90.038            -TS=73.160              
VM2 Rank=21     G=163.248           E=89.170            -TS=74.078              
VM2 Rank=22     G=163.269           E=87.926            -TS=75.343              
VM2 Rank=23     G=163.276           E=87.908            -TS=75.368              
VM2 Rank=24     G=163.277           E=89.887            -TS=73.390              
VM2 Rank=25     G=163.310           E=90.673            -TS=72.638              
VM2 Rank=26     G=163.328           E=90.482            -TS=72.847              
VM2 Rank=27     G=163.336           E=87.928            -TS=75.408              
VM2 Rank=28     G=163.341           E=90.361            -TS=72.980              
VM2 Rank=29     G=163.347           E=88.003            -TS=75.343              
VM2 Rank=30     G=163.350           E=88.702            -TS=74.648              
