VM2 Rank=1      G=222.178           E=135.743           -TS=86.435              
VM2 Rank=2      G=222.421           E=136.884           -TS=85.537              
VM2 Rank=3      G=222.431           E=135.818           -TS=86.613              
VM2 Rank=4      G=222.437           E=135.793           -TS=86.644              
VM2 Rank=5      G=222.567           E=135.897           -TS=86.670              
VM2 Rank=6      G=222.624           E=136.217           -TS=86.407              
VM2 Rank=7      G=222.641           E=136.412           -TS=86.229              
VM2 Rank=8      G=222.696           E=136.714           -TS=85.982              
VM2 Rank=9      G=222.724           E=136.943           -TS=85.781              
VM2 Rank=10     G=222.725           E=136.472           -TS=86.253              
VM2 Rank=11     G=222.774           E=136.507           -TS=86.268              
VM2 Rank=12     G=222.778           E=136.324           -TS=86.454              
VM2 Rank=13     G=222.782           E=135.899           -TS=86.883              
VM2 Rank=14     G=222.785           E=136.486           -TS=86.299              
VM2 Rank=15     G=222.789           E=134.505           -TS=88.284              
VM2 Rank=16     G=222.802           E=136.527           -TS=86.275              
VM2 Rank=17     G=222.835           E=136.330           -TS=86.505              
VM2 Rank=18     G=222.850           E=136.504           -TS=86.346              
VM2 Rank=19     G=222.859           E=133.916           -TS=88.944              
VM2 Rank=20     G=222.874           E=135.976           -TS=86.898              
VM2 Rank=21     G=222.896           E=136.490           -TS=86.406              
VM2 Rank=22     G=222.939           E=136.387           -TS=86.552              
VM2 Rank=23     G=222.947           E=136.052           -TS=86.895              
VM2 Rank=24     G=222.954           E=134.434           -TS=88.520              
VM2 Rank=25     G=222.965           E=134.683           -TS=88.282              
VM2 Rank=26     G=223.001           E=136.026           -TS=86.975              
VM2 Rank=27     G=223.013           E=136.077           -TS=86.936              
VM2 Rank=28     G=223.021           E=136.995           -TS=86.026              
VM2 Rank=29     G=223.026           E=134.789           -TS=88.237              
VM2 Rank=30     G=223.030           E=133.756           -TS=89.274              
