VM2 Rank=1      G=189.019           E=105.712           -TS=83.307              
VM2 Rank=2      G=189.168           E=105.683           -TS=83.485              
VM2 Rank=3      G=189.176           E=105.681           -TS=83.495              
VM2 Rank=4      G=189.205           E=105.608           -TS=83.597              
VM2 Rank=5      G=189.223           E=104.918           -TS=84.305              
VM2 Rank=6      G=189.317           E=104.647           -TS=84.670              
VM2 Rank=7      G=189.366           E=104.705           -TS=84.660              
VM2 Rank=8      G=189.371           E=105.791           -TS=83.579              
VM2 Rank=9      G=189.378           E=106.140           -TS=83.238              
VM2 Rank=10     G=189.391           E=105.010           -TS=84.381              
VM2 Rank=11     G=189.474           E=105.784           -TS=83.690              
VM2 Rank=12     G=189.479           E=105.915           -TS=83.564              
VM2 Rank=13     G=189.486           E=104.381           -TS=85.105              
VM2 Rank=14     G=189.489           E=106.694           -TS=82.796              
VM2 Rank=15     G=189.508           E=106.081           -TS=83.427              
VM2 Rank=16     G=189.529           E=106.453           -TS=83.076              
VM2 Rank=17     G=189.541           E=106.362           -TS=83.178              
VM2 Rank=18     G=189.542           E=104.995           -TS=84.547              
VM2 Rank=19     G=189.555           E=105.873           -TS=83.682              
VM2 Rank=20     G=189.557           E=105.680           -TS=83.877              
VM2 Rank=21     G=189.566           E=106.474           -TS=83.092              
VM2 Rank=22     G=189.570           E=105.624           -TS=83.946              
VM2 Rank=23     G=189.586           E=106.476           -TS=83.111              
VM2 Rank=24     G=189.590           E=106.542           -TS=83.048              
VM2 Rank=25     G=189.593           E=106.885           -TS=82.707              
VM2 Rank=26     G=189.619           E=106.478           -TS=83.140              
VM2 Rank=27     G=189.633           E=105.445           -TS=84.188              
VM2 Rank=28     G=189.635           E=105.157           -TS=84.478              
VM2 Rank=29     G=189.637           E=106.570           -TS=83.067              
VM2 Rank=30     G=189.666           E=104.561           -TS=85.105              
