Ligand,delG_exp(kcal/mol), qmvm2_feprocess, qmvm2_vm2
ac_67,-12.7, -43.251348816406, -41.1095644601
ad_24,-10.1, -39.222022590791, -36.7380319627
ad_67,-13.9, -47.500695358920, -44.6432727485
ad_74,-13.2, -43.079863068559, -41.0851995481
ad_81,-16.6, -40.182765416827, -37.5265835358
kb_03,-9.1 , -40.929238013914, -38.6046590413
kb_53,-12.5, -43.428654615561, -40.7492504089  
kb_57,-13.7, -44.787774255279, -42.0568809852  
kb_61,-13.6, -43.326030238002, -41.4001010723  
kk_98,-9.2 , -45.941467851938, -43.3447311941
ad_12,-9.4 , -44.530347931929, -42.1739544447
ad_32,-10.3, -46.620571915959, -44.0116235019
ad_70,-14.0, -44.521255073014, -42.6768949598
ad_76,-13.5, -44.416030242190, -42.1772262454
ad_83,-14.4, -45.328035982733, -43.1712701447
kb_04,-9.3 , -45.636686956894, -43.1203245754
kb_54,-14.8, -48.310909863202, -45.2122871010  
kb_58,-13.2, -49.254512461071, -47.1110935341
kb_62,-15.4, -37.819386718045, -36.5175404888
kk_99,-13.8, -44.075203056614, -41.5240923004
ad_17,-14.2, -39.844788054232, -38.4580177377
ad_33,-12.5, -39.055256949919, -37.0920971521
ad_71,-13.0, -41.073136633891, -37.4054397793
ad_78,-15.4, -46.334102546364, -43.5646301493
kb_01,-9.3 , -41.981447476701, -40.6505570441
kb_18,-9.3 , -45.719201809995, -44.0253409828 
kb_55,-13.8, -44.154482534998, -41.9412651813
kb_59,-13.9, -41.664857445086, -40.2397088724
kb_67,-12.7, -44.873441109261, -42.2467299748
ad_23,-11.6, -42.145664085430, -40.5944466492
ad_63,-13.9, -43.293345745458, -41.2985364021
ad_73,-13.4, -45.131234423255, -40.8772276979
ad_80,-14.2, -46.321416415314, -44.5061177907
kb_02,-13.7, -46.913015984599, -43.9828432595
kb_19,-15.6, -41.175043468593, -38.9790338394
kb_56,-12.7, -43.406763671121, -41.4831947115
kb_60,-14.8, -41.059570046567, -38.6859888626
kb_69,-11.9, -45.579478986968, -43.3300231917
